feature_id,doc_id,doc_type,doc_title,version,authors,date,feature_title,feature_description,objectives,scope,user_segments,risk_safety,privacy_data,age_gating,geo_regions,rollout,open_questions,text_original_hash,text_expanded_hash,codename_hits_json,parse_warnings,source_path
csv_feature_0000,features_csv,csv,,,,,Curfew login blocker with ASL and GH for Utah minors,"To comply with the Utah Social Media Regulation Act, we are implementing a curfew-based login restriction for users under 18. The system uses ASL to detect minor accounts and routes enforcement through GH to apply only within Utah boundaries. The feature activates during restricted night hours and logs activity using EchoTrace for auditability. This allows parental control to be enacted without user-facing alerts, operating in ShadowMode during initial rollout.",,,,,,,,,,62ae400bc3aa9d324ef8e7ab9cd70c60d88e4e6b0519b92220c4d79a7ea5f3cf,f90af52a90db08a9fad47eb3fca5ed1d446f0223a7207ea00ae9289c2f7f64a3,"[{""term"": ""ASL"", ""expansion"": ""Age-sensitive logic"", ""count"": 2, ""spans"": [[218, 221], [35, 38]]}, {""term"": ""EchoTrace"", ""expansion"": ""Log tracing mode to verify compliance routing"", ""count"": 1, ""spans"": [[395, 404]]}, {""term"": ""GH"", ""expansion"": ""Geo-handler; a module responsible for routing features based on user region"", ""count"": 2, ""spans"": [[278, 280], [43, 45]]}, {""term"": ""ShadowMode"", ""expansion"": ""Deploy feature in non-user-impact way to collect analytics only"", ""count"": 1, ""spans"": [[507, 517]]}]",,features.csv
csv_feature_0001,features_csv,csv,,,,,PF default toggle with NR enforcement for California teens,"As part of compliance with California’s SB976, the app will disable PF by default for users under 18 located in California. This default setting is considered NR to override, unless explicit parental opt-in is provided. Geo-detection is handled via GH, and rollout is monitored with FR logs. The design ensures minimal disruption while meeting the strict personalization requirements imposed by the law.",,,,,,,,,,9407fcbe24a9c975f27c0262c316d1c6c7b5480615b2bbbb16f43e64b4b349b8,319517ee4eb6b93be94b2c6bca3f6997dae71fd512745ace8354ba30763ce968,"[{""term"": ""FR"", ""expansion"": ""Feature rollout status"", ""count"": 1, ""spans"": [[365, 367]]}, {""term"": ""GH"", ""expansion"": ""Geo-handler; a module responsible for routing features based on user region"", ""count"": 1, ""spans"": [[331, 333]]}, {""term"": ""NR"", ""expansion"": ""Not recommended"", ""count"": 2, ""spans"": [[241, 243], [32, 34]]}, {""term"": ""PF"", ""expansion"": ""Personalized feed"", ""count"": 2, ""spans"": [[150, 152], [9, 11]]}]",,features.csv
csv_feature_0002,features_csv,csv,,,,,Child abuse content scanner using T5 and CDS triggers,"In line with the US federal law requiring providers to report child sexual abuse content to NCMEC, this feature scans uploads and flags suspected materials tagged as T5. Once flagged, the CDS auto-generates reports and routes them via secure channel APIs. The logic runs in real-time, supports human validation, and logs detection metadata for internal audits. Regional thresholds are governed by LCP parameters in the backend.",,,,,,,,,,91a872fa894532d5da4b27f77865051460d94b8551111cfbe83a440292192668,acab3d4383f95597c262b7ad55138652f288f7c8aa37baa5d4c25928e9d8918c,"[{""term"": ""CDS"", ""expansion"": ""Compliance Detection System"", ""count"": 2, ""spans"": [[265, 268], [50, 53]]}, {""term"": ""LCP"", ""expansion"": ""Local compliance policy"", ""count"": 1, ""spans"": [[474, 477]]}, {""term"": ""T5"", ""expansion"": ""Tier 5 sensitivity data; more critical than T1\u201a\u00c4\u00ecT4 in this internal taxonomy"", ""count"": 2, ""spans"": [[243, 245], [43, 45]]}]",,features.csv
csv_feature_0003,features_csv,csv,,,,,Content visibility lock with NSP for EU DSA,"To meet the transparency expectations of the EU Digital Services Act, we are introducing a visibility lock for flagged user-generated content labeled under NSP. When such content is detected, a soft Softblock is applied and GH ensures enforcement is restricted to the EU region only. EchoTrace supports traceability, and Redline status can be triggered for legal review. This feature enhances accountability and complies with Article 16’s removal mechanisms.",,,,,,,,,,19ede2114649d2b71db95566df171c5b563d5676d4bae49d1e3055d933153a81,edfa95c005c9027a07823c5be277345624341f047fb41513a275dc3aa49a4532,"[{""term"": ""EchoTrace"", ""expansion"": ""Log tracing mode to verify compliance routing"", ""count"": 1, ""spans"": [[351, 360]]}, {""term"": ""GH"", ""expansion"": ""Geo-handler; a module responsible for routing features based on user region"", ""count"": 1, ""spans"": [[291, 293]]}, {""term"": ""NSP"", ""expansion"": ""Non-shareable policy (content should not be shared externally)"", ""count"": 2, ""spans"": [[223, 226], [38, 41]]}, {""term"": ""Redline"", ""expansion"": ""Flag for legal review (different from its traditional business use for 'financial loss')"", ""count"": 1, ""spans"": [[388, 395]]}, {""term"": ""Softblock"", ""expansion"": ""A user-level limitation applied silently without notifications"", ""count"": 1, ""spans"": [[266, 275]]}]",,features.csv
csv_feature_0004,features_csv,csv,,,,,Jellybean-based parental notifications for Florida regulation,"To support Florida's Online Protections for Minors law, this feature extends the Jellybean parental control framework. Notifications are dispatched to verified parent accounts when a minor attempts to access restricted features. Using IMT, the system checks behavioral anomalies against BB models. If violations are detected, restrictions are applied in ShadowMode with full audit logging through CDS. Glow flags ensure compliance visibility during rollout phases.",,,,,,,,,,2c77f8a2a177d4672a7552527bd06e22a027db4d1b691c81c444b7431c6d3426,6828ff0d6dc045fe2feddf75553b8cbe2c0931c7ddd1c93ed9a05da74a3494c8,"[{""term"": ""BB"", ""expansion"": ""Baseline Behavior; standard user behavior used for anomaly detection"", ""count"": 1, ""spans"": [[372, 374]]}, {""term"": ""CDS"", ""expansion"": ""Compliance Detection System"", ""count"": 1, ""spans"": [[482, 485]]}, {""term"": ""Glow"", ""expansion"": ""A compliance-flagging status, internally used to indicate geo-based alerts"", ""count"": 1, ""spans"": [[487, 491]]}, {""term"": ""IMT"", ""expansion"": ""Internal monitoring trigger"", ""count"": 1, ""spans"": [[320, 323]]}, {""term"": ""Jellybean"", ""expansion"": ""Feature name for internal parental control system"", ""count"": 2, ""spans"": [[166, 175], [9, 18]]}, {""term"": ""ShadowMode"", ""expansion"": ""Deploy feature in non-user-impact way to collect analytics only"", ""count"": 1, ""spans"": [[439, 449]]}]",,features.csv
csv_feature_0005,features_csv,csv,,,,,Unified retention control via DRT & CDS,"Introduce a data retention feature using DRT thresholds, ensuring automatic log deletion across all regions. CDS will continuously audit retention violations, triggering EchoTrace as necessary. Spanner logic ensures all platform modules comply uniformly.",,,,,,,,,,89f9595fdc986e1b8fa094fdb43fa975850258f8a61609f1f12b8e966f0c4af8,9a19fcfb20f6a0efa11d30f440316e26c7ea9760f73baa800829d24a39f93be8,"[{""term"": ""CDS"", ""expansion"": ""Compliance Detection System"", ""count"": 2, ""spans"": [[172, 175], [45, 48]]}, {""term"": ""DRT"", ""expansion"": ""Data retention threshold; duration for which logs can be stored"", ""count"": 2, ""spans"": [[104, 107], [39, 42]]}, {""term"": ""EchoTrace"", ""expansion"": ""Log tracing mode to verify compliance routing"", ""count"": 1, ""spans"": [[233, 242]]}, {""term"": ""Spanner"", ""expansion"": ""A synthetic name for a rule engine (not to be confused with Google Spanner)"", ""count"": 1, ""spans"": [[257, 264]]}]",,features.csv
csv_feature_0006,features_csv,csv,,,,,NSP auto-flagging,"This feature will automatically detect and tag content that violates NSP policy. Once flagged, Softblock is applied and a Redline alert is generated if downstream sharing is attempted.",,,,,,,,,,23146cc927f112ac9da5f417988686c4a985ca2281b8fdc3a71dfb10b9aeb7da,046e422126dc3a8d9255a67b2e1dd96b713b45e36cd620aba7d775d4c692d813,"[{""term"": ""NSP"", ""expansion"": ""Non-shareable policy (content should not be shared externally)"", ""count"": 2, ""spans"": [[110, 113], [9, 12]]}, {""term"": ""Redline"", ""expansion"": ""Flag for legal review (different from its traditional business use for 'financial loss')"", ""count"": 1, ""spans"": [[163, 170]]}, {""term"": ""Softblock"", ""expansion"": ""A user-level limitation applied silently without notifications"", ""count"": 1, ""spans"": [[136, 145]]}]",,features.csv
csv_feature_0007,features_csv,csv,,,,,T5 tagging for sensitive reports,"When users report content containing high-risk information, it is tagged as T5 for internal routing. CDS then enforces escalation. The system is universal and does not rely on regional toggles or GH routes.",,,,,,,,,,71ebc230e68303206d73bb31ed58e5337ba9b433726069d483e0b144ac3b36ba,44fdd6a0bc01d376b278aa4b53a9b7d4e788c5b1cbb0914456778d55769f1e3e,"[{""term"": ""CDS"", ""expansion"": ""Compliance Detection System"", ""count"": 1, ""spans"": [[157, 160]]}, {""term"": ""GH"", ""expansion"": ""Geo-handler; a module responsible for routing features based on user region"", ""count"": 1, ""spans"": [[252, 254]]}, {""term"": ""T5"", ""expansion"": ""Tier 5 sensitivity data; more critical than T1\u201a\u00c4\u00ecT4 in this internal taxonomy"", ""count"": 2, ""spans"": [[132, 134], [9, 11]]}]",,features.csv
csv_feature_0008,features_csv,csv,,,,,Underage protection via Snowcap trigger,"Snowcap is activated for all underage users platform-wide, applying ASL to segment accounts. Actions taken under this logic are routed to CDS and monitored using BB to identify deviations in usage.",,,,,,,,,,29fc5e63825637fcabf1946b2786dd97169e1ec943d6f80aa3e6245b6aec602b,612d3ba89dd63f57d81bfc61bce4f41a2921503879a752b106c67621d42984e7,"[{""term"": ""ASL"", ""expansion"": ""Age-sensitive logic"", ""count"": 1, ""spans"": [[131, 134]]}, {""term"": ""BB"", ""expansion"": ""Baseline Behavior; standard user behavior used for anomaly detection"", ""count"": 1, ""spans"": [[225, 227]]}, {""term"": ""CDS"", ""expansion"": ""Compliance Detection System"", ""count"": 1, ""spans"": [[201, 204]]}, {""term"": ""Snowcap"", ""expansion"": ""A synthetic codename for the child safety policy framework"", ""count"": 2, ""spans"": [[63, 70], [33, 40]]}]",,features.csv
csv_feature_0009,features_csv,csv,,,,,Universal PF deactivation on guest mode,"By default, PF will be turned off for all uses browsing in guest mode.",,,,,,,,,,9550cbec29d70ed210e4859b64f2eebbed4bc4bf021bc990d43ee7321334401f,64c3635f9c29531db2ba9c20060d4b032d6ecc7a299182700d2741927136d36c,"[{""term"": ""PF"", ""expansion"": ""Personalized feed"", ""count"": 2, ""spans"": [[75, 77], [19, 21]]}]",,features.csv
