feature_id,doc_id,doc_type,doc_title,version,authors,date,feature_title,feature_description,objectives,scope,user_segments,risk_safety,privacy_data,age_gating,geo_regions,rollout,open_questions,text_original_hash,text_expanded_hash,codename_hits_json,parse_warnings,source_path
csv_feature_0000,features_csv,csv,,,,,Curfew login blocker with ASL and GH for Utah minors,"To comply with the Utah Social Media Regulation Act, we are implementing a curfew-based login restriction for users under 18. The system uses ASL to detect minor accounts and routes enforcement through GH to apply only within Utah boundaries. The feature activates during restricted night hours and logs activity using EchoTrace for auditability. This allows parental control to be enacted without user-facing alerts, operating in ShadowMode during initial rollout.",,,,,,,,,,62ae400bc3aa9d324ef8e7ab9cd70c60d88e4e6b0519b92220c4d79a7ea5f3cf,510ac6d321aaa73f9d19113bb3f6f81e21210cf6111917ae405848fded8f11c4,"[{""term"": ""ASL"", ""expansion"": ""Age Segmentation Logic - System for identifying and categorizing users by age groups for compliance"", ""count"": 2, ""spans"": [[218, 221], [35, 38]]}, {""term"": ""EchoTrace"", ""expansion"": ""Audit logging system that tracks user actions and system decisions for compliance reporting"", ""count"": 1, ""spans"": [[395, 404]]}, {""term"": ""GH"", ""expansion"": ""Geo-Hash - Geographic targeting and restriction system for jurisdiction-specific features"", ""count"": 2, ""spans"": [[278, 280], [43, 45]]}, {""term"": ""ShadowMode"", ""expansion"": ""Testing mode where features are deployed but their effects are logged without impacting user experience"", ""count"": 1, ""spans"": [[507, 517]]}, {""term"": ""Utah Social Media Regulation Act"", ""expansion"": ""Utah legislation requiring age verification and parental controls for social media platforms"", ""count"": 1, ""spans"": [[95, 127]]}]",,features.csv
csv_feature_0001,features_csv,csv,,,,,PF default toggle with NR enforcement for California teens,"As part of compliance with California’s SB976, the app will disable PF by default for users under 18 located in California. This default setting is considered NR to override, unless explicit parental opt-in is provided. Geo-detection is handled via GH, and rollout is monitored with FR logs. The design ensures minimal disruption while meeting the strict personalization requirements imposed by the law.",,,,,,,,,,9407fcbe24a9c975f27c0262c316d1c6c7b5480615b2bbbb16f43e64b4b349b8,e1c2f8d0c2fb1fd230d8f4f76795d97f18544704f9476757ca7a8be71359ecbd,"[{""term"": ""FR"", ""expansion"": ""Feature Registry - System for tracking and managing feature rollouts and configurations"", ""count"": 1, ""spans"": [[365, 367]]}, {""term"": ""GH"", ""expansion"": ""Geo-Hash - Geographic targeting and restriction system for jurisdiction-specific features"", ""count"": 1, ""spans"": [[331, 333]]}, {""term"": ""NR"", ""expansion"": ""Non-Reversible - Configuration setting that cannot be changed by users without administrative intervention"", ""count"": 2, ""spans"": [[241, 243], [32, 34]]}, {""term"": ""PF"", ""expansion"": ""Personalization Feed - Algorithm that customizes content recommendations based on user behavior"", ""count"": 2, ""spans"": [[150, 152], [9, 11]]}, {""term"": ""SB976"", ""expansion"": ""California Senate Bill 976 - Protecting Our Kids from Social Media Addiction Act"", ""count"": 1, ""spans"": [[122, 127]]}]",,features.csv
csv_feature_0002,features_csv,csv,,,,,Child abuse content scanner using T5 and CDS triggers,"In line with the US federal law requiring providers to report child sexual abuse content to NCMEC, this feature scans uploads and flags suspected materials tagged as T5. Once flagged, the CDS auto-generates reports and routes them via secure channel APIs. The logic runs in real-time, supports human validation, and logs detection metadata for internal audits. Regional thresholds are governed by LCP parameters in the backend.",,,,,,,,,,91a872fa894532d5da4b27f77865051460d94b8551111cfbe83a440292192668,2592c8050a9f7efaf015cdab6d24af742a9f30dfb63ac1299e0b06fbd2d4aacb,"[{""term"": ""CDS"", ""expansion"": ""Compliance Detection System - Automated system for identifying potential policy violations"", ""count"": 2, ""spans"": [[265, 268], [50, 53]]}, {""term"": ""LCP"", ""expansion"": ""Legal Compliance Parameters - Configurable rules governing content restrictions"", ""count"": 1, ""spans"": [[474, 477]]}, {""term"": ""NCMEC"", ""expansion"": ""National Center for Missing and Exploited Children - US organization for reporting child abuse material"", ""count"": 1, ""spans"": [[169, 174]]}, {""term"": ""T5"", ""expansion"": ""Threat Level 5 - Highest severity classification for content requiring immediate escalation"", ""count"": 2, ""spans"": [[243, 245], [43, 45]]}, {""term"": ""US"", ""expansion"": ""United States - Geographic region identifier for feature targeting"", ""count"": 1, ""spans"": [[94, 96]]}]",,features.csv
csv_feature_0003,features_csv,csv,,,,,Content visibility lock with NSP for EU DSA,"To meet the transparency expectations of the EU Digital Services Act, we are introducing a visibility lock for flagged user-generated content labeled under NSP. When such content is detected, a soft Softblock is applied and GH ensures enforcement is restricted to the EU region only. EchoTrace supports traceability, and Redline status can be triggered for legal review. This feature enhances accountability and complies with Article 16’s removal mechanisms.",,,,,,,,,,19ede2114649d2b71db95566df171c5b563d5676d4bae49d1e3055d933153a81,b2dafd798aa6f623490f6244ef3796f18f3a5a7309330c50491799e61be09517,"[{""term"": ""DSA"", ""expansion"": ""Digital Services Act - EU regulation governing online platform transparency and content moderation"", ""count"": 1, ""spans"": [[49, 52]]}, {""term"": ""EchoTrace"", ""expansion"": ""Audit logging system that tracks user actions and system decisions for compliance reporting"", ""count"": 1, ""spans"": [[351, 360]]}, {""term"": ""GH"", ""expansion"": ""Geo-Hash - Geographic targeting and restriction system for jurisdiction-specific features"", ""count"": 1, ""spans"": [[291, 293]]}, {""term"": ""NSP"", ""expansion"": ""Non-Safe Platform - Content classification indicating material unsuitable for minors"", ""count"": 2, ""spans"": [[223, 226], [38, 41]]}, {""term"": ""Redline"", ""expansion"": ""Critical alert status requiring immediate legal or compliance team review"", ""count"": 1, ""spans"": [[388, 395]]}, {""term"": ""Softblock"", ""expansion"": ""Temporary content restriction that can be reviewed and potentially reversed"", ""count"": 1, ""spans"": [[266, 275]]}]",,features.csv
csv_feature_0004,features_csv,csv,,,,,Jellybean-based parental notifications for Florida regulation,"To support Florida's Online Protections for Minors law, this feature extends the Jellybean parental control framework. Notifications are dispatched to verified parent accounts when a minor attempts to access restricted features. Using IMT, the system checks behavioral anomalies against BB models. If violations are detected, restrictions are applied in ShadowMode with full audit logging through CDS. Glow flags ensure compliance visibility during rollout phases.",,,,,,,,,,2c77f8a2a177d4672a7552527bd06e22a027db4d1b691c81c444b7431c6d3426,9cbbd2b357136d3f0ec3b2296d345d82584adb1fc953fa16d3f0ff3bf7ad616a,"[{""term"": ""BB"", ""expansion"": ""Behavior Baseline - Machine learning model that establishes normal user behavior patterns"", ""count"": 1, ""spans"": [[372, 374]]}, {""term"": ""CDS"", ""expansion"": ""Compliance Detection System - Automated system for identifying potential policy violations"", ""count"": 1, ""spans"": [[482, 485]]}, {""term"": ""Glow"", ""expansion"": ""Monitoring system that tracks feature health and performance metrics during rollouts"", ""count"": 1, ""spans"": [[487, 491]]}, {""term"": ""IMT"", ""expansion"": ""Identity Management Tool - System for verifying and managing user identity and permissions"", ""count"": 1, ""spans"": [[320, 323]]}, {""term"": ""Jellybean"", ""expansion"": ""Parental control framework for managing minor user accounts and permissions"", ""count"": 2, ""spans"": [[166, 175], [9, 18]]}, {""term"": ""ShadowMode"", ""expansion"": ""Testing mode where features are deployed but their effects are logged without impacting user experience"", ""count"": 1, ""spans"": [[439, 449]]}]",,features.csv
csv_feature_0005,features_csv,csv,,,,,Unified retention control via DRT & CDS,"Introduce a data retention feature using DRT thresholds, ensuring automatic log deletion across all regions. CDS will continuously audit retention violations, triggering EchoTrace as necessary. Spanner logic ensures all platform modules comply uniformly.",,,,,,,,,,89f9595fdc986e1b8fa094fdb43fa975850258f8a61609f1f12b8e966f0c4af8,ba4256ea29810824337d1ce93c2d33ed52681cbc60891eea9b5507ea69f729db,"[{""term"": ""CDS"", ""expansion"": ""Compliance Detection System - Automated system for identifying potential policy violations"", ""count"": 2, ""spans"": [[172, 175], [45, 48]]}, {""term"": ""DRT"", ""expansion"": ""Data Retention Tool - System managing automated data lifecycle and deletion policies"", ""count"": 2, ""spans"": [[104, 107], [39, 42]]}, {""term"": ""EchoTrace"", ""expansion"": ""Audit logging system that tracks user actions and system decisions for compliance reporting"", ""count"": 1, ""spans"": [[233, 242]]}, {""term"": ""Spanner"", ""expansion"": ""A/B testing framework for controlled feature rollouts and experimentation"", ""count"": 1, ""spans"": [[257, 264]]}]",,features.csv
csv_feature_0006,features_csv,csv,,,,,NSP auto-flagging,"This feature will automatically detect and tag content that violates NSP policy. Once flagged, Softblock is applied and a Redline alert is generated if downstream sharing is attempted.",,,,,,,,,,23146cc927f112ac9da5f417988686c4a985ca2281b8fdc3a71dfb10b9aeb7da,ec748ca48ec1c593f2e0b5517fb651b8dec79770d63c1267931c074c9c79d447,"[{""term"": ""NSP"", ""expansion"": ""Non-Safe Platform - Content classification indicating material unsuitable for minors"", ""count"": 2, ""spans"": [[110, 113], [9, 12]]}, {""term"": ""Redline"", ""expansion"": ""Critical alert status requiring immediate legal or compliance team review"", ""count"": 1, ""spans"": [[163, 170]]}, {""term"": ""Softblock"", ""expansion"": ""Temporary content restriction that can be reviewed and potentially reversed"", ""count"": 1, ""spans"": [[136, 145]]}]",,features.csv
csv_feature_0007,features_csv,csv,,,,,T5 tagging for sensitive reports,"When users report content containing high-risk information, it is tagged as T5 for internal routing. CDS then enforces escalation. The system is universal and does not rely on regional toggles or GH routes.",,,,,,,,,,71ebc230e68303206d73bb31ed58e5337ba9b433726069d483e0b144ac3b36ba,9279fbbd8939ed5d3500cc18cfa86bc96b0d53d954f17c4fb1cdbbe30bb6a640,"[{""term"": ""CDS"", ""expansion"": ""Compliance Detection System - Automated system for identifying potential policy violations"", ""count"": 1, ""spans"": [[157, 160]]}, {""term"": ""GH"", ""expansion"": ""Geo-Hash - Geographic targeting and restriction system for jurisdiction-specific features"", ""count"": 1, ""spans"": [[252, 254]]}, {""term"": ""T5"", ""expansion"": ""Threat Level 5 - Highest severity classification for content requiring immediate escalation"", ""count"": 2, ""spans"": [[132, 134], [9, 11]]}]",,features.csv
csv_feature_0008,features_csv,csv,,,,,Underage protection via Snowcap trigger,"Snowcap is activated for all underage users platform-wide, applying ASL to segment accounts. Actions taken under this logic are routed to CDS and monitored using BB to identify deviations in usage.",,,,,,,,,,29fc5e63825637fcabf1946b2786dd97169e1ec943d6f80aa3e6245b6aec602b,09d79d56bfc2a0f16c6de207da8bc7ad467e3c27e3e67afc99152249e44b2ec1,"[{""term"": ""ASL"", ""expansion"": ""Age Segmentation Logic - System for identifying and categorizing users by age groups for compliance"", ""count"": 1, ""spans"": [[131, 134]]}, {""term"": ""BB"", ""expansion"": ""Behavior Baseline - Machine learning model that establishes normal user behavior patterns"", ""count"": 1, ""spans"": [[225, 227]]}, {""term"": ""CDS"", ""expansion"": ""Compliance Detection System - Automated system for identifying potential policy violations"", ""count"": 1, ""spans"": [[201, 204]]}, {""term"": ""Snowcap"", ""expansion"": ""Enhanced protection system specifically designed for underage user accounts"", ""count"": 2, ""spans"": [[63, 70], [33, 40]]}]",,features.csv
csv_feature_0009,features_csv,csv,,,,,Universal PF deactivation on guest mode,"By default, PF will be turned off for all uses browsing in guest mode.",,,,,,,,,,9550cbec29d70ed210e4859b64f2eebbed4bc4bf021bc990d43ee7321334401f,28e3a0650ca44d49cfeb67337464f45e6fc8a9e2ba0b1e2f382164a1433003d2,"[{""term"": ""PF"", ""expansion"": ""Personalization Feed - Algorithm that customizes content recommendations based on user behavior"", ""count"": 2, ""spans"": [[75, 77], [19, 21]]}]",,features.csv
