feature_id,title,description,domain,geo_country,geo_state,age_min,age_max,data_practices,addictive_features,safety_controls,label,rationale,implicated_regs,risk_tags,source_seed,confidence_score,generation_timestamp
"GEN-0000","Infinite Scroll for Shorts","Continuous video feed with infinite scrolling for seamless content discovery","recommendations","Netherlands","None","18","25","engagement_patterns; device_info; viewing_history","autoplay; push_notifications; infinite_scroll; social_pressure","","Non-Compliant","Violates EU Digital Services Act (DSA): Recommender systems without transparency/control options","EU","addiction_risk; high_risk_feature","template_recommendations","0.71","2025-08-30T17:05:41.417149"
"GEN-0001","Contextual Product Placement","AI-driven product recommendations integrated naturally within video content","advertising","USA","Texas","18","25","browsing_behavior; demographic_data; purchase_history","targeted_advertising","parental_controls; age_verification; content_filtering; ad_transparency; user_controls","Compliant","Feature meets all US Federal CSAM Reporting Requirements (18 U.S.C. §2258A) requirements","US-2258A","","template_advertising","0.79","2025-08-30T17:05:41.417367"
"GEN-0002","Location-Based Local Ads","Geo-targeted advertisements for local businesses and services","advertising","USA","Florida","16","18","visit_history; location_data; local_preferences","","parental_controls; location_controls; age_verification; content_filtering","Compliant","Feature meets all Florida Online Protections for Minors (HB 3) requirements","US-FL","minor_targeting; privacy_risk","template_advertising","0.83","2025-08-30T17:05:41.417395"
"GEN-0003","Friend Activity Feed","Real-time updates showing friends' activities; likes; and comments","recommendations","USA","Florida","16","18","social_connections; friend_activity; interaction_history","social_validation; real_time_updates","privacy_controls","Compliant","Feature meets all Florida Online Protections for Minors (HB 3) requirements","US-FL","minor_targeting","template_recommendations","0.88","2025-08-30T17:05:41.417413"
"GEN-0004","CSAM Detection System","AI-powered system for identifying and reporting child sexual abuse material","safety","USA","New York","18","25","report_logs; content_hashes; detection_metadata","","human_review; parental_controls; age_verification; law_enforcement_cooperation; automated_reporting; user_controls","Compliant","Feature meets all US Federal CSAM Reporting Requirements (18 U.S.C. §2258A) requirements","US-2258A","","template_safety","0.79","2025-08-30T17:05:41.417438"
"GEN-0005","Age-Gated Adult Content","Restricted live streaming categories requiring age verification","live_streaming","USA","California","14","16","content_preferences; age_verification_data","variable_rewards; social_pressure","","Compliant","Feature meets all California Protecting Our Kids from Social Media Addiction Act requirements","US-CA","minor_targeting; addiction_risk","template_live_streaming","0.95","2025-08-30T17:05:41.417463"
"GEN-0006","Crisis Intervention Alerts","System to detect self-harm content and provide mental health resources","safety","USA","Florida","16","18","resource_engagement; content_analysis; intervention_logs","push_notifications; social_pressure","","Non-Compliant","Violates Florida Online Protections for Minors (HB 3): Uses addictive feature: push_notifications","US-FL","minor_targeting; addiction_risk","template_safety","0.93","2025-08-30T17:05:41.417486"
"GEN-0007","Cyberbullying Detection","Machine learning system to identify and prevent harassment and bullying","safety","USA","Florida","14","16","report_history; behavioral_patterns; comment_analysis","variable_rewards; social_pressure; infinite_scroll","","Non-Compliant","Violates Florida Online Protections for Minors (HB 3): Missing parental consent for 14-15 age group; Uses addictive feature: infinite_scroll; Uses addictive feature: variable_rewards","US-FL","minor_targeting; addiction_risk","template_safety","0.89","2025-08-30T17:05:41.417510"
"GEN-0008","Granular Privacy Controls","Detailed settings for controlling data sharing and profile visibility","privacy","USA","California","13","18","settings_history; privacy_preferences","","clear_explanations; default_private_settings","Compliant","Feature meets all California Protecting Our Kids from Social Media Addiction Act requirements","US-CA","child_targeting","template_privacy","0.72","2025-08-30T17:05:41.417526"
"GEN-0009","Gamified Achievement System","Points; badges; and levels to incentivize platform engagement","growth","France","None","18","25","achievement_progress; engagement_metrics; competition_data","social_competition; variable_rewards; gamification","age_verification; content_filtering; user_controls","Non-Compliant","Violates EU Digital Services Act (DSA): Recommender systems without transparency/control options","EU","addiction_risk; high_risk_feature","template_growth","0.87","2025-08-30T17:05:41.417552"
"GEN-0010","Crisis Intervention Alerts","System to detect self-harm content and provide mental health resources","safety","USA","Texas","18","25","resource_engagement; content_analysis; intervention_logs","push_notifications; social_pressure","professional_referrals; immediate_support; parental_controls; age_verification; user_controls","Compliant","Feature meets all US Federal CSAM Reporting Requirements (18 U.S.C. §2258A) requirements","US-2258A","addiction_risk","template_safety","0.89","2025-08-30T17:05:41.417577"
"GEN-0011","Viral Trend Recommendations","Algorithm that promotes trending content and challenges to maximize engagement","recommendations","USA","California","18","25","engagement_patterns; viral_participation; social_graph","push_notifications; variable_rewards; infinite_scroll; algorithmic_ranking","","Non-Compliant","Violates California Protecting Our Kids from Social Media Addiction Act: Algorithmic features without proper user controls","US-CA","addiction_risk","template_recommendations","0.82","2025-08-30T17:05:41.417600"
"GEN-0012","Virtual Gift Economy","In-app currency system for viewers to send virtual gifts to streamers","live_streaming","Netherlands","None","18","25","gifting_history; payment_info; spending_patterns","social_status; virtual_economy","spending_limits; parental_controls; age_verification","Compliant","Feature meets all EU Digital Services Act (DSA) requirements","EU","high_risk_feature","template_live_streaming","0.86","2025-08-30T17:05:41.417623"
"GEN-0013","Location-Based Local Ads","Geo-targeted advertisements for local businesses and services","advertising","USA","Illinois","13","15","visit_history; location_data; local_preferences","push_notifications; social_pressure","","Compliant","Feature meets all US Federal CSAM Reporting Requirements (18 U.S.C. §2258A) requirements","US-2258A","child_targeting; addiction_risk; privacy_risk","template_advertising","0.76","2025-08-30T17:05:41.417647"
"GEN-0014","Live Stream Discovery","Real-time promotion of live streams based on user interests and social connections","live_streaming","Germany","None","18","65","interaction_patterns; live_viewing_history; creator_follows","live_notifications; fomo_triggers","parental_controls; age_verification","Compliant","Feature meets all EU Digital Services Act (DSA) requirements","EU","high_risk_feature","template_live_streaming","0.91","2025-08-30T17:05:41.417669"
"GEN-0015","Data Download Portal","User interface for requesting and downloading personal data archives","privacy","USA","California","18","25","download_history; data_access_logs","","age_verification; secure_delivery; content_filtering; identity_verification","Compliant","Feature meets all California Protecting Our Kids from Social Media Addiction Act requirements","US-CA","","template_privacy","0.9","2025-08-30T17:05:41.417691"
"GEN-0016","Infinite Scroll for Shorts","Continuous video feed with infinite scrolling for seamless content discovery","recommendations","Netherlands","None","18","65","engagement_patterns; device_info; viewing_history","autoplay; infinite_scroll","age_verification; content_filtering; user_controls","Non-Compliant","Violates EU Digital Services Act (DSA): Recommender systems without transparency/control options","EU","addiction_risk; high_risk_feature","template_recommendations","0.78","2025-08-30T17:05:41.417715"
"GEN-0017","Contextual Product Placement","AI-driven product recommendations integrated naturally within video content","advertising","USA","California","16","18","browsing_behavior; demographic_data; purchase_history","targeted_advertising","parental_controls; ad_transparency; age_verification; user_controls","Compliant","Feature meets all California Protecting Our Kids from Social Media Addiction Act requirements","US-CA","minor_targeting","template_advertising","0.9","2025-08-30T17:05:41.417738"
"GEN-0018","Infinite Scroll for Shorts","Continuous video feed with infinite scrolling for seamless content discovery","recommendations","USA","New York","16","18","engagement_patterns; device_info; viewing_history","autoplay; push_notifications; infinite_scroll; social_pressure","","Compliant","Feature meets all US Federal CSAM Reporting Requirements (18 U.S.C. §2258A) requirements","US-2258A","minor_targeting; addiction_risk; high_risk_feature","template_recommendations","0.93","2025-08-30T17:05:41.417759"
"GEN-0019","Minor Direct Messaging","Private messaging system allowing communication with users under 18","messaging","USA","Texas","21","65","contact_lists; message_content; conversation_history","","message_filtering; parental_controls; parental_oversight; age_verification; content_filtering","Compliant","Feature meets all US Federal CSAM Reporting Requirements (18 U.S.C. §2258A) requirements","US-2258A","high_risk_feature","template_messaging","0.84","2025-08-30T17:05:41.417782"
